,Project_Type,Project_Size_MW,Project_Database,Project_Head_Height,Total_Initial_Capital_Cost,Site_Preparation_Cost,Foundation_Cost,Erection_Cost,Collection_Cost,Substation_Cost,Grid_Connection_Cost,Management_Cost,Total_BOS_Cost
0,Non-powered Dam,0.5,project_list_1MW,20,4511658.51983526,444759.2968853599,38010.72302961207,38123.514492607945,21204.79504322572,106023.9752161286,296190.3818271848,645167.1683364422,1589479.8548305612
1,New Stream-reach Development,0.5,project_list_1MW,20,6024616.060110046,593906.6512056483,50757.39030642714,50908.00570792988,28315.695482517214,141578.47741258607,395516.0443462245,861520.0965957366,2122502.3610570696
2,Canal/Conduit Project,0.5,project_list_1MW,20,3691685.4364552796,363926.3503257615,31102.44980213574,31194.74193804711,17350.921551339816,86754.60775669907,242359.1489032891,527911.017413105,1300599.2376903773
3,Pumped Storage Hydropower Project,0.5,project_list_1MW,20,2440380.448669839,240572.70462987275,20560.2052800434,20621.21479126014,11469.788108748244,57348.94054374122,160210.97645517494,348974.40415978705,859758.2339686276
4,Unit Addition Project,0.5,project_list_1MW,20,2491271.1670280173,245589.51164562194,20988.95958221105,21051.241361386743,11708.974485031682,58544.872425158406,163551.95211538934,356251.7768850065,877687.2884998056
5,Generator Rewind Project,0.5,project_list_1MW,20,141988.7030627658,13997.246347927452,1196.2548233038021,1199.804540880371,667.3469043949992,3336.7345219749964,9321.558356070575,20304.38453797551,50023.3300325277
6,Non-powered Dam,0.5,project_list_1MW,90,3240630.149177427,319461.32010591077,27302.30900681983,27383.324760549254,15230.961701133907,76154.80850566953,212747.36929349808,463410.1113323721,1141690.2047059534
7,New Stream-reach Development,0.5,project_list_1MW,90,3300991.2236482487,325411.71482724434,27810.851059236502,27893.3758398277,15514.65875114677,77573.29375573384,216710.07383250754,472041.7449816996,1162955.7130473962
8,Canal/Conduit Project,0.5,project_list_1MW,90,3036037.010592647,299292.52850422316,25578.611814243057,25654.512739507863,14269.37394978544,71346.8697489272,199315.82974540727,434153.2925147486,1069611.0190168424
9,Pumped Storage Hydropower Project,0.5,project_list_1MW,90,2440380.448669839,240572.70462987275,20560.2052800434,20621.21479126014,11469.788108748244,57348.94054374122,160210.97645517494,348974.40415978705,859758.2339686276
10,Unit Addition Project,0.5,project_list_1MW,90,2491271.1670280173,245589.51164562194,20988.95958221105,21051.241361386743,11708.974485031682,58544.872425158406,163551.95211538934,356251.7768850065,877687.2884998056
11,Generator Rewind Project,0.5,project_list_1MW,90,141988.7030627658,13997.246347927452,1196.2548233038021,1199.804540880371,667.3469043949992,3336.7345219749964,9321.558356070575,20304.38453797551,50023.3300325277
12,Non-powered Dam,0.5,project_list_1MW,250,2588308.3793078833,255155.44003217114,21806.49809566892,21871.20580515161,12165.049382747053,60825.24691373526,169922.44510156254,370128.0982410273,911873.9835720637
13,New Stream-reach Development,0.5,project_list_1MW,250,2193640.0672024735,216249.03782481985,18481.417566180844,18536.2585678609,10310.108315851627,51550.541579258126,144012.4704118424,313690.52960995375,772830.3638757673
14,Canal/Conduit Project,0.5,project_list_1MW,250,2658437.0844042203,262068.72778056804,22397.33243610556,22463.79336321566,12494.654296699837,62473.27148349918,174526.39459113707,380156.5030698035,936580.6770210288
15,Pumped Storage Hydropower Project,0.5,project_list_1MW,250,2440380.448669839,240572.70462987275,20560.2052800434,20621.21479126014,11469.788108748244,57348.94054374122,160210.97645517494,348974.40415978705,859758.2339686276
16,Unit Addition Project,0.5,project_list_1MW,250,2491271.1670280173,245589.51164562194,20988.95958221105,21051.241361386743,11708.974485031682,58544.872425158406,163551.95211538934,356251.7768850065,877687.2884998056
17,Generator Rewind Project,0.5,project_list_1MW,250,141988.7030627658,13997.246347927452,1196.2548233038021,1199.804540880371,667.3469043949992,3336.7345219749964,9321.558356070575,20304.38453797551,50023.3300325277
